,config,benchmark,network_type,encoding,configuration,k,n_nodes,n_edges,n_vars,n_clauses,n_groups,n_Avars,utime,max_res_set_size,exit_status
269,config-0,power-eris1176.mtx,power,,,8,1176.0,9864.0,8075.0,33619.0,1176.0,5723.0,7.91,92268,0
321,config-0,power-eris1176.mtx,power,,,10,1176.0,9864.0,9031.0,35699.0,1176.0,6679.0,8.2,92556,0
373,config-0,power-eris1176.mtx,power,,,12,1176.0,9864.0,9769.0,37244.0,1176.0,7417.0,7.82,92908,0
425,config-0,power-eris1176.mtx,power,,,16,1176.0,9864.0,11711.0,40136.0,1176.0,9359.0,7.94,95672,0
17,config-0,road-chesapeake.mtx,road,,,1,39.0,170.0,91.0,532.0,39.0,13.0,3.35,82176,0
69,config-0,road-chesapeake.mtx,road,,,2,39.0,170.0,153.0,618.0,39.0,75.0,8.62,84224,0
121,config-0,road-chesapeake.mtx,road,,,3,39.0,170.0,165.0,665.0,39.0,87.0,10.15,84208,0
173,config-0,road-chesapeake.mtx,road,,,4,39.0,170.0,177.0,711.0,39.0,99.0,11.13,84216,0
225,config-0,road-chesapeake.mtx,road,,,6,39.0,170.0,225.0,779.0,39.0,147.0,11.2,84228,0
277,config-0,road-chesapeake.mtx,road,,,8,39.0,170.0,247.0,837.0,39.0,169.0,12.89,84228,0
329,config-0,road-chesapeake.mtx,road,,,10,39.0,170.0,273.0,889.0,39.0,195.0,9.94,84264,0
381,config-0,road-chesapeake.mtx,road,,,12,39.0,170.0,289.0,926.0,39.0,211.0,9.64,84256,0
433,config-0,road-chesapeake.mtx,road,,,16,39.0,170.0,333.0,990.0,39.0,255.0,9.21,84268,0
14,config-0,road-euroroad.edges,road,,,1,1174.0,1417.0,2441.0,7728.0,1174.0,93.0,6.01,51592,0
66,config-0,road-euroroad.edges,road,,,2,1174.0,1417.0,4709.0,11444.0,1174.0,2361.0,13.69,52164,0
118,config-0,road-euroroad.edges,road,,,3,1174.0,1417.0,5108.0,13013.0,1174.0,2760.0,11.39,54424,0
170,config-0,road-euroroad.edges,road,,,4,1174.0,1417.0,5557.0,14571.0,1174.0,3209.0,10.49,54676,0
222,config-0,road-euroroad.edges,road,,,6,1174.0,1417.0,7233.0,16923.0,1174.0,4885.0,9.19,55216,0
274,config-0,road-euroroad.edges,road,,,8,1174.0,1417.0,8063.0,19049.0,1174.0,5715.0,9.45,55736,0
326,config-0,road-euroroad.edges,road,,,10,1174.0,1417.0,9019.0,21125.0,1174.0,6671.0,10.51,56228,0
378,config-0,road-euroroad.edges,road,,,12,1174.0,1417.0,9747.0,22668.0,1174.0,7399.0,8.94,56604,0
430,config-0,road-euroroad.edges,road,,,16,1174.0,1417.0,11697.0,25556.0,1174.0,9349.0,11.71,57312,0
16,config-0,road-luxembourg-osm.mtx,road,,,1,114599.0,119666.0,229986.0,699296.0,114599.0,788.0,93.53,536620,0
68,config-0,road-luxembourg-osm.mtx,road,,,2,114599.0,119666.0,572989.0,1156110.0,114599.0,343791.0,170.86,620964,0
120,config-0,road-luxembourg-osm.mtx,road,,,3,114599.0,119666.0,687582.0,1385295.0,114599.0,458384.0,126.97,662884,0
172,config-0,road-luxembourg-osm.mtx,road,,,4,114599.0,119666.0,458370.0,2760214.0,114599.0,229172.0,167.56,1044112,0
224,config-0,road-luxembourg-osm.mtx,road,,,6,114599.0,119666.0,458370.0,2760213.0,114599.0,229172.0,140.11,1044128,0
276,config-0,road-luxembourg-osm.mtx,road,,,8,114599.0,119666.0,458370.0,2760214.0,114599.0,229172.0,123.4,1044132,0
328,config-0,road-luxembourg-osm.mtx,road,,,10,114599.0,119666.0,458370.0,2760213.0,114599.0,229172.0,257.73,1042096,0
380,config-0,road-luxembourg-osm.mtx,road,,,12,114599.0,119666.0,458370.0,2760213.0,114599.0,229172.0,164.95,1044116,0
432,config-0,road-luxembourg-osm.mtx,road,,,16,114599.0,119666.0,458370.0,2760214.0,114599.0,229172.0,176.02,1044124,0
18,config-0,road-minnesota.mtx,road,,,1,2642.0,3303.0,5417.0,17478.0,2642.0,133.0,10.45,91988,0
70,config-0,road-minnesota.mtx,road,,,2,2642.0,3303.0,10597.0,25988.0,2642.0,5313.0,19.9,93152,0
122,config-0,road-minnesota.mtx,road,,,3,2642.0,3303.0,11492.0,29521.0,2642.0,6208.0,23.29,93884,0
174,config-0,road-minnesota.mtx,road,,,4,2642.0,3303.0,12497.0,33039.0,2642.0,7213.0,23.41,94712,0
226,config-0,road-minnesota.mtx,road,,,6,2642.0,3303.0,16365.0,38325.0,2642.0,11081.0,20.77,98076,0
278,config-0,road-minnesota.mtx,road,,,8,2642.0,3303.0,18249.0,43179.0,2642.0,12965.0,19.16,99236,0
330,config-0,road-minnesota.mtx,road,,,10,2642.0,3303.0,20257.0,47857.0,2642.0,14973.0,24.06,100364,0
382,config-0,road-minnesota.mtx,road,,,12,2642.0,3303.0,22321.0,51284.0,2642.0,17037.0,20.38,101204,0
434,config-0,road-minnesota.mtx,road,,,16,2642.0,3303.0,26583.0,57922.0,2642.0,21299.0,18.29,103372,0
